,State,cis_gen_count,alt_gen_count,pct_alt,total_obs
0,California,3015,58,0.01887406443215099,3073
1,Texas,2235,43,0.01887620719929763,2278
2,Washington,1964,44,0.021912350597609563,2008
3,Florida,1406,14,0.009859154929577466,1420
4,Utah,1276,24,0.018461538461538463,1300
5,Oregon,1246,34,0.0265625,1280
6,Michigan,1235,22,0.017501988862370723,1257
7,Virginia,1163,16,0.013570822731128074,1179
8,Arizona,1155,17,0.014505119453924915,1172
9,Massachusetts,1152,26,0.022071307300509338,1178
10,Colorado,1141,24,0.020600858369098713,1165
11,Georgia,1096,11,0.00993676603432701,1107
12,Pennsylvania,1053,19,0.017723880597014924,1072
13,Minnesota,1028,20,0.019083969465648856,1048
14,Kansas,980,16,0.01606425702811245,996
15,Illinois,952,29,0.029561671763506627,981
16,Nebraska,874,15,0.01687289088863892,889
17,Maryland,872,7,0.007963594994311717,879
18,Indiana,863,17,0.019318181818181818,880
19,Missouri,850,11,0.012775842044134728,861
20,Iowa,835,11,0.013002364066193853,846
21,Tennessee,823,11,0.013189448441247002,834
22,Ohio,806,13,0.015873015873015872,819
23,Wisconsin,800,13,0.015990159901599015,813
24,Oklahoma,785,11,0.013819095477386936,796
25,Idaho,783,15,0.018796992481203006,798
26,New Hampshire,765,15,0.019230769230769232,780
27,South Carolina,763,13,0.01675257731958763,776
28,North Carolina,761,17,0.021850899742930592,778
29,New Jersey,758,9,0.011734028683181226,767
30,New York,742,12,0.015915119363395226,754
31,Kentucky,718,14,0.01912568306010929,732
32,New Mexico,717,14,0.019151846785225718,731
33,Connecticut,709,11,0.015277777777777777,720
34,Arkansas,696,5,0.007132667617689016,701
35,Nevada,693,11,0.015625,704
36,District of Columbia,683,10,0.01443001443001443,693
37,Louisiana,673,8,0.011747430249632892,681
38,Alaska,657,12,0.017937219730941704,669
39,Alabama,613,8,0.01288244766505636,621
40,South Dakota,564,5,0.008787346221441126,569
41,Wyoming,553,7,0.0125,560
42,Hawaii,551,11,0.019572953736654804,562
43,North Dakota,514,5,0.009633911368015413,519
44,Mississippi,482,4,0.00823045267489712,486
45,Montana,477,12,0.024539877300613498,489
46,Vermont,464,7,0.014861995753715499,471
47,Delaware,458,10,0.021367521367521368,468
48,West Virginia,436,10,0.02242152466367713,446
49,Maine,404,10,0.024154589371980676,414
50,Rhode Island,345,7,0.019886363636363636,352
